"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","30 Jun 2025","57529.95","57614.5","57193.8","57312.75"
"NIFTY BANK","27 Jun 2025","57234.7","57475.4","56993.85","57443.90"
"NIFTY BANK","26 Jun 2025","56693.55","57263.45","56558.35","57206.70"
"NIFTY BANK","25 Jun 2025","56564.5","56681.4","56420.65","56621.15"
"NIFTY BANK","24 Jun 2025","56529.45","56862","56276.15","56461.90"
"NIFTY BANK","23 Jun 2025","55832.35","56233.55","55779.25","56059.35"
"NIFTY BANK","20 Jun 2025","55566.7","56328.2","55566.4","56252.85"
"NIFTY BANK","19 Jun 2025","55784.85","55942.45","55475.45","55577.45"
"NIFTY BANK","18 Jun 2025","55544.95","55933.6","55511.8","55828.75"
"NIFTY BANK","17 Jun 2025","55975","56067.3","55643.95","55714.15"
"NIFTY BANK","16 Jun 2025","55554.1","55999.85","55381.45","55944.90"
"NIFTY BANK","13 Jun 2025","55149.3","55688","55149.3","55527.35"
"NIFTY BANK","12 Jun 2025","56480.9","56611.05","55968.5","56082.55"
"NIFTY BANK","11 Jun 2025","56639.85","56782.5","56399.4","56459.75"
"NIFTY BANK","10 Jun 2025","56993.9","57015.4","56564.15","56629.10"
"NIFTY BANK","09 Jun 2025","57049.5","57049.5","56792.7","56839.60"
"NIFTY BANK","06 Jun 2025","55699.45","56695","55534.75","56578.40"
"NIFTY BANK","05 Jun 2025","55806.75","56010.15","55580.45","55760.85"
"NIFTY BANK","04 Jun 2025","55650.35","55791","55408.35","55676.85"
"NIFTY BANK","03 Jun 2025","56104.8","56161.4","55455.8","55599.95"
"NIFTY BANK","02 Jun 2025","55598.25","55966.3","55400.55","55903.40"
"NIFTY BANK","30 May 2025","55615.55","55813.3","55356.6","55749.70"
"NIFTY BANK","29 May 2025","55571.4","55782.75","55096.45","55546.05"
"NIFTY BANK","28 May 2025","55328.6","55521.8","55235.55","55417.00"
"NIFTY BANK","27 May 2025","55458.95","55831.35","55037.85","55352.80"
"NIFTY BANK","26 May 2025","55534.9","55875.75","55307.5","55572.00"
