"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY BANK","25 Apr 2025","13.81","2.33",".95"
"NIFTY BANK","24 Apr 2025","13.94","2.36",".94"
"NIFTY BANK","23 Apr 2025","14","2.36",".94"
"NIFTY BANK","22 Apr 2025","14.22","2.37",".94"
"NIFTY BANK","21 Apr 2025","14.13","2.36",".94"
"NIFTY BANK","17 Apr 2025","13.88","2.32",".96"
"NIFTY BANK","16 Apr 2025","13.58","2.27",".98"
"NIFTY BANK","15 Apr 2025","13.39","2.23",".99"
"NIFTY BANK","11 Apr 2025","13.04","2.18","1.02"
"NIFTY BANK","09 Apr 2025","12.84","2.14","1.04"
"NIFTY BANK","08 Apr 2025","12.91","2.16","1.03"
"NIFTY BANK","07 Apr 2025","12.74","2.13","1.04"
"NIFTY BANK","04 Apr 2025","13.16","2.2","1.01"
"NIFTY BANK","03 Apr 2025","13.19","2.2","1.01"
"NIFTY BANK","02 Apr 2025","13.12","2.19","1.01"
"NIFTY BANK","01 Apr 2025","12.99","2.17","1.02"
"NIFTY BANK","28 Mar 2025","13.18","2.2","1.01"
"NIFTY BANK","27 Mar 2025","13.53","2.27",".97"
"NIFTY BANK","26 Mar 2025","13.44","2.26",".97"
"NIFTY BANK","25 Mar 2025","13.54","2.27",".97"
"NIFTY BANK","24 Mar 2025","13.57","2.28",".96"
"NIFTY BANK","21 Mar 2025","13.27","2.23",".99"
"NIFTY BANK","20 Mar 2025","13.14","2.21","1"
"NIFTY BANK","19 Mar 2025","13.04","2.19","1"
"NIFTY BANK","18 Mar 2025","12.94","2.17","1.01"
"NIFTY BANK","17 Mar 2025","12.69","2.13","1.03"
"NIFTY BANK","13 Mar 2025","12.61","2.12","1.04"
"NIFTY BANK","12 Mar 2025","12.61","2.12","1.04"
"NIFTY BANK","11 Mar 2025","12.56","2.11","1.04"
"NIFTY BANK","10 Mar 2025","12.65","2.12","1.03"
"NIFTY BANK","07 Mar 2025","12.72","2.14","1.03"
"NIFTY BANK","06 Mar 2025","12.76","2.14","1.03"
"NIFTY BANK","05 Mar 2025","12.72","2.14","1.03"
"NIFTY BANK","04 Mar 2025","12.66","2.13","1.03"
"NIFTY BANK","03 Mar 2025","12.62","2.12","1.04"
"NIFTY BANK","28 Feb 2025","12.68","2.13","1.03"
"NIFTY BANK","27 Feb 2025","12.79","2.15","1.02"
"NIFTY BANK","25 Feb 2025","12.75","2.14","1.03"
"NIFTY BANK","24 Feb 2025","12.77","2.14","1.02"
"NIFTY BANK","21 Feb 2025","12.85","2.16","1.02"
"NIFTY BANK","20 Feb 2025","12.94","2.17","1.01"
"NIFTY BANK","19 Feb 2025","13.01","2.18","1.01"
"NIFTY BANK","18 Feb 2025","12.84","2.16","1.02"
"NIFTY BANK","17 Feb 2025","12.88","2.17","1.01"
"NIFTY BANK","14 Feb 2025","12.84","2.16","1.02"
"NIFTY BANK","13 Feb 2025","12.91","2.17","1.01"
"NIFTY BANK","12 Feb 2025","12.94","2.18","1.01"
"NIFTY BANK","11 Feb 2025","12.92","2.18","1.01"
"NIFTY BANK","10 Feb 2025","13.07","2.2","1"
"NIFTY BANK","07 Feb 2025","13.29","2.21",".99"
"NIFTY BANK","06 Feb 2025","13.34","2.22",".99"
"NIFTY BANK","05 Feb 2025","13.33","2.22",".99"
"NIFTY BANK","04 Feb 2025","13.29","2.21",".99"
"NIFTY BANK","03 Feb 2025","13.03","2.17","1.01"
"NIFTY BANK","01 Feb 2025","13.11","2.18","1.01"
"NIFTY BANK","31 Jan 2025","13.15","2.18","1.01"
