"Index Name","Date","Open","High","Low","Close"
"NIFTY50 USD","30 Jun 2025","-","-","-","10309.76"
"NIFTY50 USD","27 Jun 2025","-","-","-","10391.58"
"NIFTY50 USD","26 Jun 2025","-","-","-","10329.45"
"NIFTY50 USD","25 Jun 2025","-","-","-","10160.66"
"NIFTY50 USD","24 Jun 2025","-","-","-","10093.19"
"NIFTY50 USD","23 Jun 2025","-","-","-","9974.52"
"NIFTY50 USD","20 Jun 2025","-","-","-","10048.58"
"NIFTY50 USD","19 Jun 2025","-","-","-","9904.45"
"NIFTY50 USD","18 Jun 2025","-","-","-","9941.25"
"NIFTY50 USD","17 Jun 2025","-","-","-","9985.38"
"NIFTY50 USD","16 Jun 2025","-","-","-","10044.26"
"NIFTY50 USD","13 Jun 2025","-","-","-","9948.60"
"NIFTY50 USD","12 Jun 2025","-","-","-","10074.34"
"NIFTY50 USD","11 Jun 2025","-","-","-","10186.95"
"NIFTY50 USD","10 Jun 2025","-","-","-","10159.42"
"NIFTY50 USD","09 Jun 2025","-","-","-","10156.10"
"NIFTY50 USD","06 Jun 2025","-","-","-","10115.66"
"NIFTY50 USD","05 Jun 2025","-","-","-","9994.69"
"NIFTY50 USD","04 Jun 2025","-","-","-","9930.91"
"NIFTY50 USD","03 Jun 2025","-","-","-","9935.42"
"NIFTY50 USD","02 Jun 2025","-","-","-","10030.52"
"NIFTY50 USD","30 May 2025","-","-","-","10021.75"
"NIFTY50 USD","29 May 2025","-","-","-","10064.00"
"NIFTY50 USD","28 May 2025","-","-","-","10047.99"
"NIFTY50 USD","27 May 2025","-","-","-","10079.18"
"NIFTY50 USD","26 May 2025","-","-","-","10180.94"
"NIFTY50 USD","23 May 2025","-","-","-","10105.46"
"NIFTY50 USD","22 May 2025","-","-","-","9912.97"
"NIFTY50 USD","21 May 2025","-","-","-","10039.03"
"NIFTY50 USD","20 May 2025","-","-","-","9987.42"
"NIFTY50 USD","19 May 2025","-","-","-","10121.32"
"NIFTY50 USD","16 May 2025","-","-","-","10136.94"
"NIFTY50 USD","15 May 2025","-","-","-","10151.55"
"NIFTY50 USD","14 May 2025","-","-","-","10022.38"
"NIFTY50 USD","13 May 2025","-","-","-","9979.44"
"NIFTY50 USD","12 May 2025","-","-","-","10114.38"
"NIFTY50 USD","09 May 2025","-","-","-","9742.37"
"NIFTY50 USD","08 May 2025","-","-","-","9812.59"
"NIFTY50 USD","07 May 2025","-","-","-","9972.33"
"NIFTY50 USD","06 May 2025","-","-","-","10004.71"
"NIFTY50 USD","05 May 2025","-","-","-","10057.66"
"NIFTY50 USD","02 May 2025","-","-","-","9980.63"
"NIFTY50 USD","30 Apr 2025","-","-","-","9980.38"
"NIFTY50 USD","29 Apr 2025","-","-","-","9890.66"
"NIFTY50 USD","28 Apr 2025","-","-","-","9913.80"
"NIFTY50 USD","25 Apr 2025","-","-","-","9748.97"
"NIFTY50 USD","24 Apr 2025","-","-","-","9853.17"
"NIFTY50 USD","23 Apr 2025","-","-","-","9867.99"
"NIFTY50 USD","22 Apr 2025","-","-","-","9829.30"
"NIFTY50 USD","21 Apr 2025","-","-","-","9819.26"
"NIFTY50 USD","17 Apr 2025","-","-","-","9680.77"
"NIFTY50 USD","16 Apr 2025","-","-","-","9477.86"
"NIFTY50 USD","15 Apr 2025","-","-","-","9424.30"
"NIFTY50 USD","11 Apr 2025","-","-","-","9192.17"
"NIFTY50 USD","09 Apr 2025","-","-","-","8952.43"
"NIFTY50 USD","08 Apr 2025","-","-","-","9051.83"
"NIFTY50 USD","07 Apr 2025","-","-","-","8945.32"
"NIFTY50 USD","04 Apr 2025","-","-","-","9310.29"
"NIFTY50 USD","03 Apr 2025","-","-","-","9428.07"
"NIFTY50 USD","02 Apr 2025","-","-","-","9454.50"
"NIFTY50 USD","01 Apr 2025","-","-","-","9391.22"
"NIFTY50 USD","28 Mar 2025","-","-","-","9534.58"
"NIFTY50 USD","27 Mar 2025","-","-","-","9528.91"
