date,close,eps,pe,bv,pb,div-yield %
2025-06-30,38950.0,1351.96,28.81,5078.23,7.67,2.62
2025-05-30,37321.75,1338.18,27.89,4865.94,7.67,3.03
2025-04-30,35794.95,1333.15,26.85,4830.63,7.41,3.02
2025-03-28,36886.15,1323.51,27.87,4828.03,7.64,2.81
2025-02-28,37318.3,1319.6,28.28,4833.98,7.72,2.75
2025-01-31,42662.75,1319.6,32.33,4837.05,8.82,2.41
2024-12-31,43337.8,1273.52,34.03,4826.04,8.98,1.91
2024-11-29,43146.25,1263.43,34.15,4858.81,8.88,1.89
2024-10-31,40407.55,1263.13,31.99,4856.68,8.32,2.1
2024-09-30,41946.05,1219.36,34.4,4860.49,8.63,1.87
2024-08-30,42787.8,1223.56,34.97,4807.62,8.9,1.82
2024-07-31,40851.1,1223.82,33.38,4811.67,8.49,1.9
2024-06-28,36157.5,1195.29,30.25,4582.7,7.89,2.2
2024-05-31,32386.1,1191.1,27.19,4646.5,6.97,2.92
2024-04-30,33200.95,1186.6,27.98,4649.99,7.14,2.0
2024-03-28,34898.15,1165.99,29.93,4646.89,7.51,2.03
2024-02-29,37720.4,1169.26,32.26,4605.67,8.19,1.88
2024-01-31,36638.4,1169.81,31.32,4602.81,7.96,1.94
2023-12-29,35515.0,1194.18,29.74,4606.36,7.71,2.33
2023-11-30,32582.2,1187.83,27.43,4589.04,7.1,2.48
2023-10-31,30582.25,1187.66,25.75,4591.93,6.66,2.68
2023-09-29,31784.4,1188.65,26.74,4586.49,6.93,2.51
2023-08-31,31164.9,1189.05,26.21,3632.27,8.58,2.56
2023-07-31,29928.45,1189.05,25.17,3685.77,8.12,2.66
2023-06-30,29563.0,1162.98,25.42,3631.82,8.14,2.58
2023-05-31,29319.75,1149.79,25.5,3571.22,8.21,2.07
2023-04-28,27708.2,1154.51,24.0,3570.64,7.76,2.69
2023-03-31,28698.6,1133.88,25.31,3573.92,8.03,2.72
2023-02-28,29663.95,1128.77,26.28,3573.97,8.3,2.64
2023-01-31,29740.35,1128.67,26.35,3574.56,8.32,2.63
2022-12-30,28621.7,1088.69,26.29,3555.49,8.05,2.12
2022-11-30,30391.7,1113.25,27.3,3583.93,8.48,2.04
2022-10-31,28727.6,1111.75,25.84,3586.47,8.01,2.13
2022-09-30,26981.15,1091.47,24.72,3587.92,7.52,2.25
2022-08-30,28407.9,1099.38,25.84,3600.49,7.89,2.29
2022-07-29,29152.3,1098.43,26.54,3594.61,8.11,2.24
2022-06-30,27843.35,1096.63,25.39,3399.68,8.19,2.22
2022-05-31,29679.05,1073.38,27.65,3236.54,9.17,1.99
2022-04-29,31622.4,1056.55,29.93,3243.32,9.75,1.8
