date,close,eps,pe,bv,pb,div-yield %
2025-06-30,54883.9,1324.74,41.43,5365.0,10.23,2.02
2025-05-30,55283.0,1265.06,43.7,5225.24,10.58,2.58
2025-04-30,56445.35,1256.3,44.93,5226.42,10.8,1.95
2025-03-28,53589.8,1251.81,42.81,5223.18,10.26,2.04
2025-02-28,50689.0,1227.04,41.31,5109.78,9.92,2.14
2025-01-31,56691.95,1232.97,45.98,5048.26,11.23,1.82
2024-12-31,56799.65,1225.19,46.36,5048.86,11.25,1.82
2024-11-29,57943.7,1255.82,46.14,5136.85,11.28,1.83
2024-10-31,59203.0,1259.91,46.99,5139.15,11.52,1.79
2024-09-30,65540.35,1251.73,52.36,5140.42,12.75,1.6
2024-08-30,63059.75,1272.65,49.55,5143.54,12.26,1.69
2024-07-31,62082.2,1265.95,49.04,5143.51,12.07,1.64
2024-06-28,56756.85,1262.95,44.94,5040.57,11.26,1.74
2024-05-31,54107.35,1237.31,43.73,4954.89,10.92,1.19
2024-04-30,54240.6,1276.55,42.49,4953.48,10.95,1.86
2024-03-28,53949.2,1276.3,42.27,4855.91,11.11,1.98
2024-02-29,54015.6,1252.1,43.14,4763.28,11.34,1.93
2024-01-31,55071.4,1258.49,43.76,4763.96,11.56,1.84
2023-12-29,56987.2,1243.99,45.81,4764.82,11.96,1.79
2023-11-30,53013.8,1228.02,43.17,4733.38,11.2,1.88
2023-10-31,51262.6,1224.33,41.87,4755.34,10.78,1.8
2023-09-29,51602.65,1210.19,42.64,4751.63,10.86,1.86
2023-08-31,51092.65,1199.36,42.6,4322.56,11.82,1.84
2023-07-31,52636.85,1168.15,45.06,4128.38,12.75,1.79
2023-06-30,52194.75,1152.46,45.29,4100.14,12.73,1.81
2023-05-31,51042.75,1160.33,43.99,4054.23,12.59,1.95
2023-04-28,47814.1,1115.59,42.86,4024.76,11.88,1.76
2023-03-31,45904.9,1111.23,41.31,4026.75,11.4,1.71
2023-02-28,44940.45,1143.81,39.29,4119.2,10.91,1.8
2023-01-31,44456.9,1091.23,40.74,4120.19,10.79,1.79
2022-12-30,44171.45,1090.11,40.52,4120.47,10.72,1.8
2022-11-30,45536.55,1086.27,41.92,4106.09,11.09,1.73
2022-10-31,44296.3,1084.9,40.83,4109.12,10.78,1.67
2022-09-30,44405.65,1035.34,42.89,4107.83,10.81,1.77
2022-08-30,43821.15,1042.86,42.02,4126.29,10.62,1.82
2022-07-29,42487.4,996.42,42.64,4089.26,10.39,1.87
2022-06-30,37664.55,985.21,38.23,3985.67,9.45,2.11
2022-05-31,38713.45,992.14,39.02,4011.76,9.65,2.57
2022-04-29,38204.15,963.29,39.66,3987.91,9.58,1.92
2022-03-31,36287.75,960.5,37.78,3987.66,9.1,2.13
2022-02-28,35515.4,969.31,36.64,4013.04,8.85,2.27
2022-01-31,36467.25,952.15,38.3,4011.8,9.09,2.14
2021-12-31,37579.95,944.93,39.77,4010.67,9.37,2.08
2021-11-30,37386.95,940.08,39.77,3990.07,9.37,2.12
2021-10-29,38222.1,938.43,40.73,3998.13,9.56,2.03
2021-09-30,40426.55,917.33,44.07,3990.77,10.13,1.95
2021-08-31,39529.7,897.99,44.02,3894.55,10.15,1.96
2021-07-30,36051.9,900.62,40.03,3914.43,9.21,2.29
2021-06-30,36093.2,857.73,42.08,4069.13,8.87,3.55
2021-05-31,35243.1,847.19,41.6,4018.6,8.77,2.89
2021-04-30,33623.45,814.92,41.26,3322.48,10.12,2.94
2021-03-31,34931.7,813.69,42.93,3320.5,10.52,2.74
2021-02-26,32443.15,770.62,42.1,3307.15,9.81,1.4
2021-01-29,33121.05,777.85,42.58,3305.49,10.02,1.38
2020-12-31,34177.1,780.83,43.77,3324.62,10.28,1.35
2020-11-27,31718.8,780.87,40.62,3324.82,9.54,1.46
2020-10-30,29428.45,805.6,36.53,3321.5,8.86,1.58
2020-09-30,29841.75,801.77,37.22,3319.44,8.99,1.55
2020-08-31,30595.15,787.72,38.84,3293.34,9.29,1.45
2020-07-31,30872.45,792.21,38.97,3029.68,10.19,1.38
2020-06-30,30063.25,807.07,37.25,2982.47,10.08,1.44
2020-05-29,29296.95,838.49,34.94,2944.42,9.95,1.4
2020-04-30,28669.3,858.62,33.39,2943.46,9.74,1.43
2020-03-31,27319.2,858.55,31.82,2943.88,9.28,1.51
2020-02-28,29310.25,833.39,35.17,2837.39,10.33,1.37
2020-01-31,30775.3,796.46,38.64,2839.05,10.84,1.3
2019-12-31,30121.5,793.92,37.94,2838.97,10.61,1.33
2019-11-29,30975.5,806.02,38.43,2892.2,10.71,1.31
